post_date,sheikh,series_name,khutbah_title,audio_length,location_or_online,series_part
10/8/2025 7:55 PM,حسن بن محمد منصور الدغريري,التفسير الميسر ( سورة الفاتحة ),حقوق كبار السن.,08:23,,
10/8/2025 9:27 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,14:48,جامعالورود,1
10/8/2025 11:43 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - تابع باب الربا -,,18:36,عن بعد,10
10/9/2025 1:20 AM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,26:56,عن بعد,4
10/9/2025 1:29 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام - كتاب النكاح (٢),,17:24,,3
10/9/2025 1:29 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,11:47,جامعالورود,2
10/9/2025 8:54 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,11:05,جامعالورود,1
10/9/2025 9:09 PM,حسن بن محمد منصور الدغريري,التفسير الميسر ( سورة النبأ ),,17:29,,2
10/9/2025 9:19 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,12:41,جامعالورود,3
10/10/2025 7:12 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,10:03,جامعالورود,2
10/10/2025 7:14 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,12:42,جامعالورود,3
10/10/2025 10:38 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,14:43,جامعالورود,4
10/10/2025 10:45 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,11:58,جامعالورود,4
10/10/2025 10:50 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - تابع باب الربا -,,23:24,عن بعد,11
10/10/2025 10:58 PM,حسن بن محمد منصور الدغريري,الأفنان الندية - تابع باب الربا والقرض -,النعم في السعودية.,10:37,عن بعد,2
10/13/2025 5:30 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,46:46,جامعالورود,1
10/14/2025 1:11 AM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,58:31,جامعالورود,2
10/14/2025 1:22 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,36:30,جامعالورود,2
10/14/2025 1:26 AM,حسن بن محمد منصور الدغريري,الأفنان الندية - تابع باب السلم والقرض -,,13:02,عن بعد,3
10/14/2025 1:39 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,15:41,جامعالورود,5
10/15/2025 10:37 AM,حسن بن محمد منصور الدغريري,للعلامة زيد بن هادي مدخلي,,23:00,عن بعد,4
10/15/2025 11:27 AM,حسن بن محمد منصور الدغريري,التفسير الميسر ( سورة النازعات ),,12:46,,4
10/15/2025 12:44 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,12:05,جامعالورود,6
10/15/2025 12:48 PM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,28:58,عن بعد,6
10/15/2025 12:55 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,14:05,جامعالورود,7
10/15/2025 12:59 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,08:34,جامعالورود,6
10/16/2025 12:20 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام - كتاب النكاح (٤),,19:26,جامعالورود,5
10/16/2025 12:24 AM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,11:04,جامعالورود,3
10/16/2025 12:43 AM,حسن بن محمد منصور الدغريري,التفسير الميسر ( تابع سورة النازعات ),,04:40,,5
10/16/2025 12:44 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,06:59,جامعالورود,8
10/16/2025 12:48 AM,حسن بن محمد منصور الدغريري,للعلامة زيد بن هادي مدخلي,,14:15,عن بعد,5
10/16/2025 1:01 AM,حسن بن محمد منصور الدغريري,للعلامة زيد بن هادي مدخلي,,13:16,عن بعد,6
10/17/2025 2:11 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام - كتاب النكاح (٥),,16:15,جامعالورود,6
10/17/2025 2:21 PM,حسن بن محمد منصور الدغريري,التفسير الميسر ( سورة عبس ),,07:15,,6
10/17/2025 2:29 PM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,01:06:22,جامعالورود,4
10/17/2025 2:33 PM,حسن بن محمد منصور الدغريري,للعلامة زيد بن هادي مدخلي,,16:31,عن بعد,7
10/17/2025 5:40 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,05:16,جامعالورود,10
10/17/2025 6:55 PM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,24:03,عن بعد,7
10/17/2025 7:01 PM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,07:50,جامعالورود,11
10/17/2025 7:07 PM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,08:37,جامعالورود,11
10/17/2025 7:12 PM,حسن بن محمد منصور الدغريري,تأسيس الأحكام - كتاب النكاح (٦),,22:15,جامعالورود,7
10/22/2025 6:11 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,57:12,جامعالورود,5
10/22/2025 6:18 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,18:26,جامعالورود,2
10/23/2025 11:30 AM,حسن بن محمد منصور الدغريري,الــــــــــــــــدرس (33),,01:08:24,جامعالورود,2
10/26/2025 1:44 AM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,48:16,جامعالورود,1
10/26/2025 1:50 AM,حسن بن محمد منصور الدغريري,"التفسير الميسر ( سورة عبس  ""٢"" )",,05:47,,7
10/26/2025 2:09 AM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,51:42,جامعالورود,1
10/26/2025 2:18 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,11:02,جامعالورود,2
10/26/2025 2:24 AM,حسن بن محمد منصور الدغريري,الملخص شرح كتاب التوحيد,,09:45,جامعالورود,3
10/26/2025 2:29 AM,حسن بن محمد منصور الدغريري,للعلامة زيد بن هادي مدخلي,,09:33,عن بعد,8
10/26/2025 2:38 AM,حسن بن محمد منصور الدغريري,الملخص الفقهي,,10:56,جامعالورود,3
10/26/2025 2:40 AM,حسن بن محمد منصور الدغريري,تأسيس الأحكام شرح عمدة الأحكام,,20:30,عن بعد,7
10/26/2025 7:33 AM,حسن بن محمد منصور الدغريري,التعليقات البهية على الرسائل العقدية,,01:08,جامعالورود,2
10/26/2025 7:40 AM,حسن بن محمد منصور الدغريري,إرشاد الساري شرح السنة للبربهاري,,01:03:05,جامعالورود,6
10/26/2025 9:03 PM,حسن بن محمد منصور الدغريري,معارج القبول شرح منظومة سلم الوصول,,20:27,عن بعد,9
